"orden_revision";"prioridad";"estado_revision";"decision_manual";"notas_revisor";"bdns_id";"titulo";"grupo_revision";"comprobacion_recomendada";"fecha_cierre";"fecha_apertura";"url";"motivo_automatico";"origen"
"1";"alta";"pendiente";"";"";"895256";"Decreto de la Delegada del Área de Economía, Innovación y Hacienda por el que se aprueba la convocatoria de";"cluster_role_unverified";"Comprobar si la ayuda llega a empresas miembro, pilotos o costes empresariales; no basta financiar la estructura del clúster.";"2026-12-31";"";"https://sede.madrid.es/portal/site/tramites/menuitem.c61bb691882ed9d32e202e2084f1a5a0/?vgnextoid=5a9d5d53be9a0210VgnVCM100000171f5a0aRCRD&vgnextchannel=5a9d5d53be9a0210VgnVCM100000171f5a0aRCRD&vgnextfmt=default";"El cluster es elegible, pero no consta si la ayuda llega a sus empresas miembro.";"auditoria_2026-08-06"
"2";"alta";"pendiente";"";"";"919042";"APROBACIÓN DE LAS BASES REGULADORAS Y CONVOCATORIA DE AYUDAS PARA EL PLAN DE EFICIENCIA ENERGÉTICA DURANTE EL AÑO 2026";"supplier_role_unverified";"Comprobar si equipos, instalaciones o ingeniería de Kalfrisa son gasto elegible para el beneficiario.";"2026-08-31";"2026-07-16";"Sede electrónica de Tres Cantos";"Existe encaje tecnico, pero no esta probado que Kalfrisa pueda suministrar un gasto elegible.";"auditoria_2026-08-06"
"3";"alta";"pendiente";"";"";"921318";"Convocatoria de ayudas para la elaboración de Trabajos Fin de Grado y Trabajos de Fin de Máster del Instituto de Investigación en Energías Renovables de la Universidad de Castilla-La Mancha del curso académico 2026/2027";"supplier_role_unverified";"Comprobar si equipos, instalaciones o ingeniería de Kalfrisa son gasto elegible para el beneficiario.";"2026-11-20";"2026-09-15";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921318";"Existe encaje tecnico, pero no esta probado que Kalfrisa pueda suministrar un gasto elegible.";"auditoria_2026-08-06"
"4";"alta";"pendiente";"";"";"920927";"Resolución de 21 de julio de 2026 de ICEX por la que se convocan entregas dinerarias sin contraprestación a las entidades colaboradoras en gestión de ayudas de ICEX para actividades cuya realización esté prevista del 1 de enero al 31 de diciembre de 2027.";"supplier_role_unverified";"Comprobar si equipos, instalaciones o ingeniería de Kalfrisa son gasto elegible para el beneficiario.";"2027-12-01";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/920927";"Existe encaje tecnico, pero no esta probado que Kalfrisa pueda suministrar un gasto elegible.";"auditoria_2026-08-06"
"5";"alta";"pendiente";"";"";"922826";"Subvención a favor del Ayuntamiento de Torralba del Río para la realización de trabajos para la mejora de la eficiencia energética en el edificio municipal";"supplier_role_unverified";"Comprobar si equipos, instalaciones o ingeniería de Kalfrisa son gasto elegible para el beneficiario.";"2026-12-31";"2026-01-01";"navarra.es";"Existe encaje tecnico, pero no esta probado que Kalfrisa pueda suministrar un gasto elegible.";"auditoria_2026-08-06"
"6";"alta";"pendiente";"";"";"919209";"(EE) Eficiencia energética Industrial FNEE (Reg. 651/2014)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919209";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"7";"alta";"pendiente";"";"";"919217";"(REE) Eficiencia energética Terciario FNEE (Reg. 651/2014)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919217";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"8";"alta";"pendiente";"";"";"918621";"(TEC) Econ. Circular y Trans.Energética (Reg. 651/2014)";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-09-30";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/918621";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"9";"alta";"pendiente";"";"";"923099";"Acuerdo de 2 de agosto de 2026 de la Alcaldía del Ayuntamiento de Rianxo, por el que se convocan ayudas a la implantación de nuevas empresas y comercios en el término municipal del Ayuntamiento de Rianxo";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-11-30";"";"https://sede.concelloderianxo.gal/";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
"10";"alta";"pendiente";"";"";"886784";"AYUDAS A PROYECTOS DE DIGITALIZACIÓN DE LA PYME MADRILEÑA - 2026";"territorial_eligibility_unverified";"Comprobar si exige centro previo, solo localización del proyecto o permite abrir centro; si permite abrirlo, confirmar al menos 730 días de ejecución.";"2026-12-31";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/886784";"Convocatoria subnacional fuera de Aragon sin requisito territorial suficientemente claro.";"auditoria_2026-08-06"
